route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id"
"547262","0","547262_volta_0_0","Diadema (Vila Sao Jose)",,"1",,"547262_volta"
"547285","0","547285_volta_0_0","Sao Bernardo do Campo (Terminal Metropolitano Ferrazopolis)",,"1",,"547285_volta"
"547285","0","547285_ida_0_0","Sao Paulo (Terminal Metropolitano Jabaquara)",,"0",,"547285_ida"
"547309","0","547309_volta_0_0","Sao Bernardo do Campo (Acampamento dos Engenheiros)",,"1",,"547309_volta"
"547309","0","547309_ida_0_0","Diadema (Terminal Metropolitano Diadema)",,"0",,"547309_ida"
"547391","0","547391_ida_0_0","Sao Paulo (Metro Armenia)",,"0",,"547391_ida"
"547391","0","547391_volta_0_0","Mogi das Cruzes (Estacao Cptm Estudantes)",,"1",,"547391_volta"
"547416","0","547416_ida_0_0","Sao Paulo (Sao Miguel Paulista)",,"0",,"547416_ida"
"547416","0","547416_volta_0_0","Aruja (Parque Rodrigo Barreto)",,"1",,"547416_volta"
"547425","0","547425_ida_0_0","Sao Paulo (Estacao Cptm  Itaim Paulista)",,"0",,"547425_ida"
"547425","0","547425_volta_0_0","Poa (Terminal Rodoviario Pedro Fava - Cidade Kemel)",,"1",,"547425_volta"
"548046","0","548046_ida_0_0","Santo Andre (Represa)",,"0",,"548046_ida"
"548046","0","548046_volta_0_0","Sao Caetano do Sul (Terminal Rodoviario Nicolau Delic)",,"1",,"548046_volta"
"549290","0","549290_volta_0_0","Sao Bernardo do Campo (Jardim Nazareth)",,"1",,"549290_volta"
"549290","0","549290_ida_0_0","Sao Paulo (Terminal Sacoma)",,"0",,"549290_ida"
"549316","0","549316_ida_0_0","Sao Paulo (Santo Amaro)",,"0",,"549316_ida"
"549316","0","549316_volta_0_0","Diadema (Terminal Metropolitano Piraporinha)",,"1",,"549316_volta"
"550065","0","550065_ida_0_0","Sao Paulo (Fabrica Trol)",,"0",,"550065_ida"
